direccion,latitud,longitud
"carretera rabade villalba km , 27373 lugo, begonte, españa",43.1503555,-7.684327000000001
"calle san esteban de uriz 0 s/n, 27373 lugo, begonte, españa",43.1503555,-7.684327000000001
"poligono begonte s/n bajo prcela 40, 27373 lugo, begonte, españa",43.1503555,-7.684327000000001
"pol. ind. begonte parcela 31, 27373 lugo, begonte, españa",43.1503555,-7.684327000000001
"altide 2, 27375 lugo, begonte, españa",43.1503555,-7.684327000000001
"saavedra 43, 27375 lugo, begonte, españa",43.1503555,-7.684327000000001
"nacional vi 522 km,  lugo, begonte, españa",43.1503555,-7.684327000000001
"beltran s/n 27878, 27878 lugo, xove, españa",43.6849554,-7.5123498
"bendollo 29, 27329 lugo, quiroga, españa",42.43806499999999,-7.209112699999999
"benquerencia 12, 27792 barreiros, barreiros, españa",43.55085,-7.21132
"Alfonso Xiii 87, 27340 lugo, boveda, españa",42.6238961,-7.4844271
"poligono ind. de boveda parcelas 2 3, 27340 lugo, boveda, españa",42.6230165,-7.485171100000001
"lugo monforte 4, 27350 lugo, boveda, españa",43.01476,-7.55696
"celta 31, 27350 lugo, boveda, españa",42.656717,-7.476728
"a igrexa s/n, 27286 lugo, bretona, españa",43.33817699999999,-7.318173499999999
"b.o igrexa s/n, 27286 lugo, bretona, españa",43.33817699999999,-7.318173499999999
"bretona s/n 27286, 27286 lugo, a pastoriza, españa",43.33817699999999,-7.318173499999999
"camino de outeiro 12, 27330 lugo, brollon a pobra do brollon, españa",42.5500823,-7.394931799999999
"buratai s/n, 27140 lugo, buratai, españa",42.9891826,-7.4881814
"carretera de barbain 13, 27140 lugo lugo, buratai, españa",43.004011,-7.516757
"buratai 2, 27140 lugo lugo, buratai, españa",42.99743,-7.512174
"buratai 2, 27140 lugo lugo, buratai, españa",42.99743,-7.512174
"correo 8, 27880 lugo, burela, españa",43.6602954,-7.3611092
"galerias 137, 27880 lugo, burela, españa",43.6602954,-7.3611092
"berbes 21, 27880 lugo, burela, españa",43.6602954,-7.3611092
"rua do rio 4, 27880 lugo, burela, españa",43.658715,-7.361483
"o porto s/n, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Arcadio Pardiñas 137, 27880 lugo, burela, españa",43.655885,-7.3578629
"Avenida da Mariña 14, 27880 lugo, burela, españa",43.664678,-7.364381
"Avenida Arcadio Pardiñas 131, 27880 lugo, burela, españa",43.656266,-7.358453
"calle pardo bazan 3, 27880 lugo, burela, españa",43.6602002,-7.358608800000001
"concepcion arenal 9, 27880 lugo, burela, españa",43.6633842,-7.3596964
"Avenida Arcadio Pardiñas 135, 27880 lugo, burela, españa",43.6561179,-7.3579338
"Avenida Arcadio Pardiñas 135, 27880 lugo, burela, españa",43.6561179,-7.3579338
"Avenida Arcadio Pardiñas 135, 27880 lugo, burela, españa",43.6561179,-7.3579338
"Rua Pardo Bazán 12, 27880 lugo, burela, españa",43.661171,-7.35942
"Avenida Arcadio Pardiñas 137, 27880 lugo, burela, españa",43.655885,-7.3578629
"estr. general km , 27880 lugo, burela, españa",43.6602954,-7.3611092
"pr. marina 7, 27880 lugo, burela, españa",43.660812,-7.358084
"travesia do rio 1, 27880 lugo, burela, españa",43.6602954,-7.3611092
"castelao 1, 27880 lugo, burela, españa",43.6641143,-7.365673799999999
"Avenida Arcadio Pardiñas 95, 27880 lugo, burela, españa",43.65904,-7.360772
"Avenida Arcadio Pardiñas 133, 27880 lugo, burela, españa",43.65642,-7.35841
"escolas s/n, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Avenida Arcadio Pardiñas 95, 27880 lugo, burela, españa",43.65904,-7.360772
"marineiro 1, 27880 lugo, burela, españa",43.65911190000001,-7.359035
